"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 31 21:48:19 GMT 2025","Thu Jul 31 21:48:19 GMT 2025","2","","Is it Friday yet?","","Today is or is not Friday","","Today is or is not Friday","    Everybody wants to know when it's Friday"
"passed","Thu Jul 31 21:48:19 GMT 2025","Thu Jul 31 21:48:19 GMT 2025","1","","Is it Friday yet?","","Today is or is not Friday","","Today is or is not Friday","    Everybody wants to know when it's Friday"
"passed","Thu Jul 31 21:48:19 GMT 2025","Thu Jul 31 21:48:19 GMT 2025","3","","Is it Friday yet?","","Today is or is not Friday","","Today is or is not Friday","    Everybody wants to know when it's Friday"
"passed","Thu Jul 31 21:48:19 GMT 2025","Thu Jul 31 21:48:19 GMT 2025","184","","Is it Friday yet?","","Today is or is not Friday","","Today is or is not Friday","    Everybody wants to know when it's Friday"
